Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,Iris-setosa
2,4.9,3,1.4,0.2,Iris-setosa
3,4.7,3.2,1.3,0.2,Iris-setosa
4,4.6,3.1,1.5,0.2,Iris-setosa
5,5,3.6,1.4,0.2,Iris-setosa
6,5.4,3.9,1.7,0.4,Iris-setosa
7,4.6,3.4,1.4,0.3,Iris-setosa
8,5,3.4,1.5,0.2,Iris-setosa
9,4.4,2.9,1.4,0.2,Iris-setosa
10,4.9,3.1,1.5,0.1,Iris-setosa
11,5.4,3.7,1.5,0.2,Iris-setosa
12,4.8,3.4,1.6,0.2,Iris-setosa
13,7,3.2,4.7,1.4,Iris-versicolor
14,6.4,3.2,4.5,1.5,Iris-versicolor
15,6.9,3.1,4.9,1.5,Iris-versicolor
16,5.5,2.3,4,1.3,Iris-versicolor
17,6.5,2.8,4.6,1.5,Iris-versicolor
18,5.7,2.8,4.5,1.3,Iris-versicolor
19,6.3,3.3,4.7,1.6,Iris-versicolor
20,4.9,2.4,3.3,1,Iris-versicolor
21,6.9,3.1,5.1,2.3,Iris-virginica
22,5.8,2.7,5.1,1.9,Iris-virginica
23,6.8,3.2,5.9,2.3,Iris-virginica
24,6.7,3.3,5.7,2.5,Iris-virginica
25,6.7,3,5.2,2.3,Iris-virginica
26,6.3,2.5,5,1.9,Iris-virginica
27,6.5,3,5.2,2,Iris-virginica
28,6.2,3.4,5.4,2.3,Iris-virginica
